"","country_code","name","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020"
"1",900,"World",2536431.018,2773019.915,3034949.715,3339583.51,3700437.042,4079480.474,4458003.466,4870921.666,5327231.041,5744212.93,6143493.806,6541906.956,6956823.588,7379796.967,7794798.729
"2",947,"Sub-Saharan Africa",179006.53,197489.512,220137.978,247830.919,280908.111,321200.537,369613.669,425840.824,490604.852,560759.472,639661.386,729733.003,836363.757,958577.201,1094365.605
"3",1833,"Northern Africa and Western Asia",100239.14,113425.337,129301.679,147821.733,168730.175,192351.449,220224.392,253469.194,288060.443,323178.117,355881.668,391985.543,435366.79,481520.015,525869.282
"4",921,"Central and Southern Asia",510788.12,558665.566,619067.7,691686.855,775436.811,870180.427,980358.988,1105791.297,1239984.308,1376199.571,1511915.31,1647073.789,1775360.533,1896327.293,2014708.531
"5",1832,"Eastern and South-Eastern Asia",842669.339,932210.416,1019894.871,1127782.03,1280852.786,1432113.687,1555767.503,1684698.035,1837799.004,1950219.95,2044789.22,2125348.402,2201806.674,2279489.616,2346709.481
"6",1830,"Latin America and the Caribbean",168820.524,192727.225,220469.724,252455.927,286675.705,322777.147,361253.181,402023.662,442840.078,483018.226,521836.322,557500.981,591352.345,623934.126,653962.332
"7",927,"Australia/New Zealand",10085.359,11302.088,12614.669,13939.835,15611.421,16855.912,17735.01,18931.906,20358.775,21668.023,22850.426,24313.896,26524.747,28547.026,30322.114
"8",1835,"Oceania (excluding Australia and New Zealand)",2890.536,3090.602,3406.963,3828.859,4310.804,4854.363,5477.074,6219.135,6939.919,7721.606,8574.661,9376.317,10348.322,11311.667,12355.695
"9",1829,"Europe and Northern America",721931.47,764109.169,810056.131,854237.352,887911.229,919146.952,947573.649,973947.613,1000643.662,1021447.965,1037984.813,1056575.025,1079700.42,1100090.023,1116505.689
"10",903,"Africa",227794.137,252748.917,283361.171,320147.295,363447.593,414674.676,476386.225,548626.14,630349.685,717270.112,810984.232,916154.285,1039304.03,1182438.803,1340598.113
