replicate,recipe,temperature,angle,temp
1,A,175,42,175
1,A,185,46,185
1,A,195,47,195
1,A,205,39,205
1,A,215,53,215
1,A,225,42,225
1,B,175,39,175
1,B,185,46,185
1,B,195,51,195
1,B,205,49,205
1,B,215,55,215
1,B,225,42,225
1,C,175,46,175
1,C,185,44,185
1,C,195,45,195
1,C,205,46,205
1,C,215,48,215
1,C,225,63,225
2,A,175,47,175
2,A,185,29,185
2,A,195,35,195
2,A,205,47,205
2,A,215,57,215
2,A,225,45,225
2,B,175,35,175
2,B,185,46,185
2,B,195,47,195
2,B,205,39,205
2,B,215,52,215
2,B,225,61,225
2,C,175,43,175
2,C,185,43,185
2,C,195,43,195
2,C,205,46,205
2,C,215,47,215
2,C,225,58,225
3,A,175,32,175
3,A,185,32,185
3,A,195,37,195
3,A,205,43,205
3,A,215,45,215
3,A,225,45,225
3,B,175,34,175
3,B,185,30,185
3,B,195,42,195
3,B,205,35,205
3,B,215,42,215
3,B,225,35,225
3,C,175,33,175
3,C,185,24,185
3,C,195,40,195
3,C,205,37,205
3,C,215,41,215
3,C,225,38,225
4,A,175,26,175
4,A,185,32,185
4,A,195,35,195
4,A,205,24,205
4,A,215,39,215
4,A,225,26,225
4,B,175,25,175
4,B,185,26,185
4,B,195,28,195
4,B,205,46,205
4,B,215,37,215
4,B,225,37,225
4,C,175,38,175
4,C,185,41,185
4,C,195,38,195
4,C,205,30,205
4,C,215,36,215
4,C,225,35,225
5,A,175,28,175
5,A,185,30,185
5,A,195,31,195
5,A,205,37,205
5,A,215,41,215
5,A,225,47,225
5,B,175,31,175
5,B,185,30,185
5,B,195,29,195
5,B,205,35,205
5,B,215,40,215
5,B,225,36,225
5,C,175,21,175
5,C,185,25,185
5,C,195,31,195
5,C,205,35,205
5,C,215,33,215
5,C,225,23,225
6,A,175,24,175
6,A,185,22,185
6,A,195,22,195
6,A,205,29,205
6,A,215,35,215
6,A,225,26,225
6,B,175,24,175
6,B,185,29,185
6,B,195,29,195
6,B,205,29,205
6,B,215,24,215
6,B,225,35,225
6,C,175,24,175
6,C,185,33,185
6,C,195,30,195
6,C,205,30,205
6,C,215,37,215
6,C,225,35,225
7,A,175,26,175
7,A,185,23,185
7,A,195,25,195
7,A,205,27,205
7,A,215,33,215
7,A,225,35,225
7,B,175,22,175
7,B,185,25,185
7,B,195,26,195
7,B,205,26,205
7,B,215,29,215
7,B,225,36,225
7,C,175,20,175
7,C,185,21,185
7,C,195,31,195
7,C,205,24,205
7,C,215,30,215
7,C,225,33,225
8,A,175,24,175
8,A,185,33,185
8,A,195,23,195
8,A,205,32,205
8,A,215,31,215
8,A,225,34,225
8,B,175,26,175
8,B,185,23,185
8,B,195,24,195
8,B,205,31,205
8,B,215,27,215
8,B,225,37,225
8,C,175,24,175
8,C,185,23,185
8,C,195,21,195
8,C,205,24,205
8,C,215,21,215
8,C,225,35,225
9,A,175,24,175
9,A,185,27,185
9,A,195,28,195
9,A,205,33,205
9,A,215,34,215
9,A,225,23,225
9,B,175,27,175
9,B,185,26,185
9,B,195,32,195
9,B,205,28,205
9,B,215,32,215
9,B,225,33,225
9,C,175,24,175
9,C,185,18,185
9,C,195,21,195
9,C,205,26,205
9,C,215,28,215
9,C,225,28,225
10,A,175,24,175
10,A,185,33,185
10,A,195,27,195
10,A,205,31,205
10,A,215,30,215
10,A,225,33,225
10,B,175,21,175
10,B,185,24,185
10,B,195,24,195
10,B,205,27,205
10,B,215,37,215
10,B,225,30,225
10,C,175,26,175
10,C,185,28,185
10,C,195,27,195
10,C,205,27,205
10,C,215,35,215
10,C,225,35,225
11,A,175,33,175
11,A,185,39,185
11,A,195,33,195
11,A,205,28,205
11,A,215,33,215
11,A,225,30,225
11,B,175,20,175
11,B,185,27,185
11,B,195,33,195
11,B,205,31,205
11,B,215,28,215
11,B,225,33,225
11,C,175,28,175
11,C,185,25,185
11,C,195,26,195
11,C,205,25,205
11,C,215,38,215
11,C,225,28,225
12,A,175,28,175
12,A,185,31,185
12,A,195,27,195
12,A,205,39,205
12,A,215,35,215
12,A,225,43,225
12,B,175,23,175
12,B,185,28,185
12,B,195,31,195
12,B,205,34,205
12,B,215,31,215
12,B,225,29,225
12,C,175,24,175
12,C,185,30,185
12,C,195,28,195
12,C,205,35,205
12,C,215,33,215
12,C,225,28,225
13,A,175,29,175
13,A,185,28,185
13,A,195,31,195
13,A,205,29,205
13,A,215,37,215
13,A,225,33,225
13,B,175,32,175
13,B,185,35,185
13,B,195,30,195
13,B,205,27,205
13,B,215,35,215
13,B,225,30,225
13,C,175,28,175
13,C,185,29,185
13,C,195,43,195
13,C,205,28,205
13,C,215,33,215
13,C,225,37,225
14,A,175,24,175
14,A,185,40,185
14,A,195,29,195
14,A,205,40,205
14,A,215,40,215
14,A,225,31,225
14,B,175,23,175
14,B,185,25,185
14,B,195,22,195
14,B,205,19,205
14,B,215,21,215
14,B,225,35,225
14,C,175,19,175
14,C,185,22,185
14,C,195,27,195
14,C,205,25,205
14,C,215,25,215
14,C,225,35,225
15,A,175,26,175
15,A,185,28,185
15,A,195,32,195
15,A,205,25,205
15,A,215,37,215
15,A,225,33,225
15,B,175,21,175
15,B,185,21,185
15,B,195,28,195
15,B,205,26,205
15,B,215,27,215
15,B,225,20,225
15,C,175,21,175
15,C,185,28,185
15,C,195,25,195
15,C,205,25,205
15,C,215,31,215
15,C,225,25,225
